推估情境,學年度(西元),學年度(民國),0-2歲學齡前人口(人),0-5歲學齡前人口(人),6-21歲學齡人口(人),6-11歲(國小)學齡人口(人),12-17歲(國/高中)學齡人口(人),18-21歲(大學)學齡人口(人),6歲(國小)入學年齡人口(人),12歲(國中)入學年齡人口(人),15歲(高中)入學年齡人口(人),18歲(大學)入學年齡人口(人)
高推估,2022,111,470193,1030485,3385987,1238910,1180499,966578,208471,174390,202795,218593
高推估,2023,112,469032,1002703,3333426,1260300,1165086,908039,199889,187770,198801,209392
高推估,2024,113,491438,1003296,3296289,1235976,1191065,869247,188356,224370,195310,206111
高推估,2025,114,493512,983553,3244414,1206379,1196188,841847,180733,210367,176787,205254
高推估,2026,115,483695,969745,3194140,1168583,1203966,821591,170426,208054,189271,200138
高推估,2027,116,467070,964943,3144512,1114515,1223542,806455,161044,214960,224318,195232
高推估,2028,117,462088,961345,3096891,1061022,1258819,777050,158752,212153,210308,176719
高推估,2029,118,460334,949530,3057926,1025532,1271364,761030,166419,201882,208005,189191
高推估,2030,119,458146,930846,3030631,1010148,1235345,785138,172890,188290,214914,224195
高推估,2031,120,456889,924761,2995645,989757,1205722,800166,160207,180671,212123,210224
高推估,2032,121,456755,923026,2975465,975905,1168186,831374,156446,170432,201875,207943
高推估,2033,122,458123,922236,2942992,971471,1114473,857048,156487,161120,188315,214867
高推估,2034,123,454781,917858,2874626,968288,1061328,845010,155460,158872,180719,212101
高推估,2035,124,451099,914295,2819793,956938,1026140,836715,154925,166556,170505,201892
高推估,2036,125,454766,919651,2767030,938726,1011085,817219,154424,173065,161227,188385
高推估,2037,126,457489,919504,2707569,933263,991045,783261,154559,160488,159005,180830
高推估,2038,127,458158,916987,2651517,932133,977502,741882,155183,156790,166700,170656
高推估,2039,128,450203,913005,2606535,931829,973286,701420,156131,156872,173205,161397
高推估,2040,129,445782,910959,2570704,928120,970328,672256,151700,155889,160645,159184
高推估,2041,130,440632,907024,2542801,925243,959209,658349,152006,155395,156956,166875
高推估,2042,131,435198,893753,2533375,931070,941163,661142,160157,154919,157052,173391
高推估,2043,132,431016,885312,2527209,930753,935816,660639,154147,155071,156083,160867
高推估,2044,133,427194,876531,2522417,928963,934794,658660,153307,155712,155603,157197
高推估,2045,134,423775,867682,2508896,925190,934624,649083,152344,156683,155130,157299
