學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,日間/進修,學制班別,當學年度總量內核定新生招生名額(A),當學年度新生保留入學資格人數(B),當學年度總量內新生招生核定名額之實際註冊人數(C),當學年度各學系境外(新生)學生實際註冊人數 (E),"當學年度新生註冊率(%)
D=〔(C+E)/(A-B+E)〕＊100％
"
106,公立,一般大學,1,國立政治大學,1111001,教育學系,日間,學士班(含四技),50,0,49,...,98
106,公立,一般大學,1,國立政治大學,1111001,教育學系,日間,碩士班,11,3,8,...,100
106,公立,一般大學,1,國立政治大學,1111001,教育學系,日間,博士班,16,0,16,...,100
106,公立,一般大學,1,國立政治大學,1114005,教育行政與政策研究所,日間,碩士班,14,0,14,...,100
106,公立,一般大學,1,國立政治大學,1114006,學校行政碩士在職專班,在職,碩士班,24,1,21,...,91.3
106,公立,一般大學,1,國立政治大學,1121004,幼兒教育研究所,日間,碩士班,13,3,10,...,100
106,公立,一般大學,1,國立政治大學,1131002,華語文教學博士學位學程,日間,博士班,2,0,2,...,100
106,公立,一般大學,1,國立政治大學,1131002,華語文教學碩士學位學程,日間,碩士班,15,0,14,...,93.33
106,公立,一般大學,1,國立政治大學,2211019,宗教研究所,日間,碩士班,11,0,9,...,81.82
106,公立,一般大學,1,國立政治大學,2211019,宗教研究所,日間,博士班,5,0,2,...,40
106,公立,一般大學,1,國立政治大學,2221020,歷史學系,日間,學士班(含四技),44,0,43,...,97.73
106,公立,一般大學,1,國立政治大學,2221020,歷史學系,日間,碩士班,16,1,11,...,73.33
106,公立,一般大學,1,國立政治大學,2221020,歷史學系,日間,博士班,4,1,3,...,100
106,公立,一般大學,1,國立政治大學,2221021,台灣史研究所,日間,碩士班,15,1,14,...,100
106,公立,一般大學,1,國立政治大學,2221021,台灣史研究所,日間,博士班,2,0,2,...,100
106,公立,一般大學,1,國立政治大學,2222031,民族學系,日間,學士班(含四技),48,0,46,...,95.83
106,公立,一般大學,1,國立政治大學,2222031,民族學系,日間,碩士班,10,0,9,...,90
106,公立,一般大學,1,國立政治大學,2222031,民族學系,日間,博士班,3,0,2,...,66.67
106,公立,一般大學,1,國立政治大學,2231022,哲學系,日間,學士班(含四技),52,0,50,...,96.15
106,公立,一般大學,1,國立政治大學,2231022,哲學系,日間,碩士班,11,0,11,...,100
106,公立,一般大學,1,國立政治大學,2231022,哲學系,日間,博士班,4,0,1,...,25
106,公立,一般大學,1,國立政治大學,2311009,英國語文學系,日間,學士班(含四技),61,0,61,...,100
106,公立,一般大學,1,國立政治大學,2311009,英國語文學系,日間,碩士班,20,0,16,...,80
106,公立,一般大學,1,國立政治大學,2311009,英國語文學系,日間,博士班,4,0,1,...,25
106,公立,一般大學,1,國立政治大學,2311009,英國語文學系英語教學碩士在職專班,在職,碩士班,20,0,19,...,95
106,公立,一般大學,1,國立政治大學,2311011,日本語文學系,日間,學士班(含四技),32,0,30,...,93.75
106,公立,一般大學,1,國立政治大學,2311011,日本語文學系,日間,碩士班,9,0,6,...,66.67
106,公立,一般大學,1,國立政治大學,2311012,阿拉伯語文學系,日間,學士班(含四技),45,0,43,...,95.56
106,公立,一般大學,1,國立政治大學,2311014,韓國語文學系,日間,學士班(含四技),28,0,28,...,100
106,公立,一般大學,1,國立政治大學,2311014,韓國語文學系,日間,碩士班,9,0,6,...,66.67
106,公立,一般大學,1,國立政治大學,2311015,土耳其語文學系,日間,學士班(含四技),32,0,31,...,96.88
106,公立,一般大學,1,國立政治大學,2311016,歐洲語文學系,日間,學士班(含四技),56,0,55,...,98.21
106,公立,一般大學,1,國立政治大學,2311017,斯拉夫語文學系,日間,學士班(含四技),54,0,52,...,96.3
106,公立,一般大學,1,國立政治大學,2311017,斯拉夫語文學系,日間,碩士班,7,0,5,...,71.43
106,公立,一般大學,1,國立政治大學,2311087,東南亞語言與文化學士學位學程,日間,學士班(含四技),17,0,16,...,94.12
